	Word	Context	Spacy POS
0	easy	easy easy...	JJ
1	meng	general meng meng jie?	NN
2	anything	i haven' t done anything anything like this... happened...	NN
3	kitty	over there is here kitty kitty.	NN
4	theta	encrypt, this is diana 1716 theta theta 6.	NN
5	theta	encrypt, this is diana 1 716 theta theta 6.	NN
6	voice	what? sorry? that voice voice? didn' t you hear it? what are you talking about?	NN
7	voice	harry! did you hear it? hear what? that voice voice? what voice?	NN
8	justin	justin justin must' ve seen the basilisk through nearly headless nick!	JJ
9	certain	i sense that something is troubling you am i right, harry? it' s just you see, sir, i couldn' t help but notice certain thing, certain certain similarities between tom riddle and me	JJ
10	whoop	can i get a whoop whoop?	NN
11	whoop	can i get a whoop whoop?	NN
12	montgomery	i am looking for dr. montgomery montgomery.	NN
13	nothing	nothing nothing	NN
14	montgomery	i am looking for dr. montgomery montgomery.	NN
15	nothing	nothing nothing	NN
16	laba	- laba laba batu.	NN
17	mat	- mat mat mat - l- l- lum	NN
18	mat	- mat mat mat - lip la	NN
19	mat	- mat mat mat - l- l- lum	NN
20	shoop	shoop shoop shooby doo wah	NN
21	mat	- mat mat mat - l- l- lum	NN
22	mat	- mat mat mat - lip la	NN
23	mat	- mat mat mat - l- l- lum	NN
24	shoop	shoop shoop shooby doo wah	NN
25	thing	it' s a thing thing.	NN
26	mirror	mirror mirror on the wall..	NN
27	shimmy	shimmy shimmy.	NN
28	kitty	here, kitty kitty kitty.	NN
29	kitty	come here, kitty kitty.	NN
30	love	i love love connection.	NN
31	love	you love love connection, send your picture in there.	NN
32	boomm	"i got it to fneddy ""boomm boomm"" cannon... tlnougl mmy fniendslip witl dick clank."	NN
33	gene	that means... it' s gene gene, the dancing machine... and just in time:	NN
34	game	"the game game, ""dream girl of 1968""..."	NN
35	big	when i was iittle i thought for sure 1 day, i could be a big big star...	JJ
36	bla	you write shit down, bla bla bla	NN
37	bla	and talking to people, bla bla bla, builshit	NN
38	big	when i was iittle i thought for sure 1 day, i could be a big big star...	JJ
39	bla	you write shit down, bla bla bla	NN
40	bla	and talking to people, bla bla bla, builshit	NN
41	big	when i was iittle i thought for sure 1 day, i could be a big big star...	JJ
42	bla	you write shit down, bla bla bla	NN
43	bla	and talking to people, bla bla bla, builshit	NN
44	city	"foster city city limits, which meant also just outside of foster city police jurisdiction, which meant any, any incidents that happened at the meeting point happened in the jurisdiction of san mateo, and if they told us they get lost, we' d say, ""fine, we are going to foster city."	NN
45	fuck	fuck fuck.	NN
46	good	oh yes good good good good.	JJ
47	bent	i know that but this one' s bent bent.	JJ
48	tin	rin tin tin.	NN
49	tin	rin tin tin...	NN
50	hip	hip hip hip...	NN
51	hip	hip hip hip...	NN
52	hip	hip hip hip... hurrah...	NN
53	omega	i' m panos patakos, president of the lambda omega omega fraternity.	NN
54	omega	mad props for this pimpin 'good time... go out to those hung and handsome bad boys... of lambda omega omega.	NN
55	happy	i can see how a happy happy- birthday basket...... might seem ironic and cruel, but it was an honest mistake.	JJ
56	faith	* i gotta have faith, faith faith. *	NN
57	hope	they believe he can give them hope hope of a new life, a new world, a better future!	NN
58	ninetyf	i make it ninetyf ninetyf ninetyf ninetysix, sir.	NN
59	temptation	temptation, temptation temptation	NN
60	digi	bom digi digi digi bom digi bom	NN
61	many	we had rehearsed many many times	JJ
62	air	air air air air air o plane?	NN
63	gold	gold, gold gold, gold	NN
64	circus	in front of circus circus!	NN
65	ray	my name is ray ray and i' m here to... service you.	NN
66	ray	ray ray is a sexual healer.	NN
67	ray	ray ray' s service center, 6630 harford road.	NN
68	ray	ray ray?	NN
69	ray	ray ray has helped me understand my hypersexuality.	NN
70	ray	uh, i would, but i' m supposed to help ray ray think up a new sex act.	NN
71	ray	ray ray is a sex saint,	NN
72	ray	oh, and i' ve got hot pants, ray ray.	NN
73	ray	you have met ray ray.	NN
74	ray	no, there' s this guy named ray ray and he is their leader and he ate me out.	NN
75	ray	ray ray is gonna be all better, right?	NN
76	ray	we don' t serve ray ray' s people here.	NN
77	ray	- ray ray!	NN
78	ray	do it for us one more time, ray ray.	NN
79	ray	now, ray ray, now!	NN
80	walterl	walterl walterl and why did everyone just automatically listen to that mike person?	NN
81	anything	anything anything?	NN
82	plan	you' re on the non- plan plan.	NN
83	plan	i am not on a non- plan plan!	NN
84	haw	haw haw... you baby, you going down!	NN
85	urt	yes, somehow you seem urt urt, really?	JJ
86	thing	sexy thing, miss thing thing.	NN
87	gus	oh, hi, gus gus.	JJ
88	gus	gus gus.	JJ
89	gus	- i think i' m gonna go talk to gus gus.	JJ
90	gunther	i can see myself in the mountains, raising children...... little hans hans and gunther gunther.	NN
91	gus	i' d hate to see you with gus gus.	JJ
92	plan	you' re on the non- plan plan.	NN
93	plan	i am not on a non- plan plan!	NN
