Num,Word,C2,C1,C,C-1,Length,count
0,easy,Lakchume.,Pick up the body.,Easy easy...,Be careful be careful.,4,125548527
1,meng,Attack!,Xu Gui!,General Meng Meng Jie?,The Chancellor wants you dead.,4,689565
2,anything,I' m hot,Maybe I should get you a cool cloth,I haven' t done anything anything like this... happened...,It' s OK... this doesn' t have to mean anything,8,75985266
3,out,- [Gasps],- I found you.,Out Out Get out of here,And close the goddamn door,3,741601852
4,kitty,- [People Chattering],- [Person Over Loudspeaker Indistinct],Over there is Here Kitty Kitty.,That' s where the agency held my tryouts when I was made new.,5,6414935
5,theta,- Trusted associates working for a man who had created a food substitute.,Anton Reich.,"EnCrypt, this is Diana 1716 theta theta 6.",- Rook activation override.,5,5070673
6,theta,- Trusted associates working for a man who had created a food substitute.,Anton Reich.,"EnCrypt, this is Diana 1 716 theta theta 6.",- Rook activation override.,5,5070673
7,very,"here we are, Harry you go first, Dear but Harry' s never traveled by Floo powder, Mom Floo powder? oh, you go first, Ron, then Harry can see how it' s done and you go",Diagon Alley!,"you see? it' s quite easy don' t be afraid come come on and you go, let' s bow your head that' s fine take your Floo powder that' s it, very good don' t forget to speak very very clearly",D- Dia- gon Alley,4,334923368
8,voice,Let me rip you.... |Let me tear you....,Let me kill you..],what? sorry? that voice voice? didn' t you hear it? what are you talking about?,Harry are you getting a lit bit drowsy?,5,64600528
9,voice,spooky,"[I smell blood, let me rip you, let me kill you, kill....]",Harry! did you hear it? hear what? that voice voice? what voice?,"I heard it first at Lockhart office, then again, it just it' s moving",5,64600528
10,kill,Harry! did you hear it? hear what? that voice voice? what voice?,"I heard it first at Lockhart office, then again, it just it' s moving",I think it' s gonna kill kill?,"Harry, wait, don' t be so fast",4,24850951
11,come,"what' s that you got, Hagrid? oh, it' s Flesh- Eatin 'Slug Repellent for the mandrake, you know according to proffessor Sprout, they still gonna need bit grown- up to do, |but once their acne' s been cleared up, we' il be able to chop them up, |stew them, and then we' il get those people down at hospital unpetrified in meantime, you know, you three, best look after yourselves all right?","hello, Nevill","Harry, I don' t who did it, but you' d be better come come on","it has to be a Gryffindor nobody else know our password unless he wasn' t a student whoever he was, he must be looking something he found it",4,154326119
12,justin,because no one did look in the eye not directly at least,Colin saw it through his camera,Justin Justin must' ve seen the basilisk through Nearly Headless Nick!,"Nick got the full blast of it, | but he is a ghost, he couldn' t die again and Hermione had the mirror",6,10029711
13,certain,Harry,"First, I want to thank you, Harry you must' ve shown me the real loyalty down the chamber nothing but that could have called Fawkes to you and second","I sense that something is troubling you am I right, Harry? it' s just you see, sir, I couldn' t help but notice certain thing, certain certain similarities between Tom Riddle and me","I see, well you can speak Parseltongue,?",7,73108213
