adam	A:  No, like my Adam. Like ADAM-Adam.
again	Well, it won't happen AGAIN-again.
aggressive	Bernard:   AGGRESSIVE-aggressive.
aggressive	Felicity:   You're right, it's AGGRESSIVE-aggressive.
alone	Cam:  I'm alone. I mean, ALONE-alone. I haven't seen anyone since you.
amherst	Does she live in AMHERST-Amherst? Das ist ein kleines Dorf. [That's a small village].
anywhere	ANYWHERE-anywhere?
artist	Jian Ghomeshi:   Neil Young may be more of an ARTIST-artist than a song-artist.
auckland	That's not AUCKLAND-Auckland, is it?
back	Actor:  Well, I wouldn't exactly call this "back". Not BACK-back, you know? Not like comeback back. Just a little independent thing.
bacon	B:  How do they know it's turkey bacon and not BACON-bacon?
bad	Is 37 grams [of saturated fat] good or bad? And even if we have an intuition that it's bad, we'd wonder if it was "BAD-bad" (like cigarettes) or "normal bad" (like a cookie or a milk shake).
bad	Plus, there's a lot of really bad fiction out there -- not just wish-it-was-bad fiction that's actually really good, but BAD-bad fiction.
bag	An evening bag or a BAG-bag?
bank	Do you want to go to the BANK-bank?
be	[name] is coming down for the weekend and I want to be with him -- BE-be with him.
beach	Rafe:   It's a -- you know, the -- a BEACH-beach.
beach	Alison:   "A BEACH-beach." Oh, wow.
better	A doctor:   When you say she's getting better, do you mean BETTER-better?
bitches	Shavoo:  Stop, man. I'm not talking about those kind of bitches. I'm talking about BITCHES-bitches.
boat	Pacey:   No, a BOAT-boat, the kind that sails around the world and takes me with it.
bone	When you were a kid and you had a dog, did you ever try eating a bone? Not one of those BONE-bones, but a Milkbone?
bowling	B:   BOWLING-bowling?
boyfriend	Maya:   You mean a BOYFRIEND-boyfriend?
brother	He's my brother. Well, not my BROTHER-brother.
businessman	Is he like a BUSINESSMAN-businessman? Or is this like when I used to sell lemonade and call myself a businessman?
car	Automakers are reluctant to admit to making what designers call CAR-cars, the basic family sedans bought by millions of typical Americans. Instead, they prefer to draw attention to fanciful design studies that project fun and freedom ... But CAR-cars do still exist...
celebrity	First of all, I'm not like a CELEBRITY-celebrity; I don't get recognized when I'm walking down the street.
change	I only have CHANGE-change.
chicago	Nicholas:   Chicago. Not CHICAGO-Chicago. I was born there but I really don't know anything about Chicago anymore.
christian	He's a Christian, I mean a CHRISTIAN-Christian.
class	Is he in your swim-class or your CLASS-class?
