Word,Label,POS
adam,S,NN
again,N,RB
aggressive,P,JJ
aggressive,P,JJ
alone,E,JJ
amherst,P,NN
anywhere,E,RB
artist,P,NN
auckland,S,NN
back,E,RB
bacon,P,NN
bad,E,JJ
bad,P,JJ
bag,P,NN
bank,P,NN
be,S,
beach,P,NN
beach,P,NN
better,P,JJ
bitches,S,NN
boat,P,NN
bone,P,NN
bowling,P,VB
boyfriend,P,NN
brother,P,NN
businessman,P,NN
car,P,NN
celebrity,E,NN
change,P,NN
chicago,P,NN
christian,E,NN
class,P,NN
clear,E,JJ
coffee,P,NN
couple,P,NN
cow,P,NN
cow,N,NN
cred,P,NN
cried,P,VB
crime,P,NN
crime,P,NN
dad,P,NN
party,N,NN
date,P,NN
date,P,NN
date,P,NN
date,P,NN
date,P,NN
date,P,NN
date,P,NN
dead,P,JJ
dead,P,JJ
dead,P,JJ
dead,P,JJ
dead,P,JJ
dead,P,JJ
decided,P,VB
die,P,VB
dinner,S,NN
dive,P,NN
doctor,P,NN
dog,P,NN
doll,P,NN
done,P,JJ
door,P,NN
drink,S,NN
drink,S,NN
drink,S,NN
drink,S,NN
dying,P,VB
economist,E,NN
egg,P,NN
end,P,NN
enjoy,S,VB
escort,S,NN
evil,E,JJ
evil,E,JJ
familiar,S,JJ
fans,P,NN
favorite,E,JJ
favorite,E,JJ
feelings,P,NN
fight,P,NN
final,P,JJ
fireplace,P,NN
flute,P,NN
food,P,NN
free,P,JJ
french,P,JJ
french,P,JJ
french,P,JJ
friend,P,NN
friend,S,NN
friend,P,NN
friends,E,NN
friends,P,NN
funny,P,JJ
funny,P,JJ
garth,S,NN
gay,S,JJ
geeky,P,JJ
girl,P,NN
girl,P,NN
glove,P,NN
go,S,VB
god,P,NN
god,P,NN
going,S,VB
go,S,VB
gone,E,JJ
good,P,JJ
green-tea,P,NN
guitar,P,NN
gun,P,NN
gun,P,NN
guy,E,NN
guy,S,NN
guys,S,NN
guys,S,NN
handle,U,VB
happened,P,VB
hardest,E,JJ
hat,P,NN
help,P,VB
here,E,RB
here,P,RB
high,E,JJ
highway,P,NN
hint,P,NN
history,P,NN
hive,P,NN
home,S,RB
home,S,RB
home,P,RB
home,P,RB
home,P,RB
hot,E,JJ
house,P,NN
hustle,E,VB
indian,P,JJ
instant,E,JJ
intense,E,JJ
interested,S,JJ
invisible,P,JJ
jealous,E,JJ
jealous,E,JJ
job,P,NN
job,P,NN
kid,P,NN
kids,P,NN
kilt,P,NN
kiss,P,NN
know,P,VB
kong-chi,S,NN
language,P,NN
late,E,JJ
late,S,JJ
late,E,JJ
late,E,JJ
leak,S,NN
leave,S,VB
leave,P,VB
leave,N,VB
leaving,P,VB
leaving,P,VB
leaving,E,VB
letter,P,NN
letter,P,NN
listen,P,VB
logic,P,NN
long,E,JJ
lose,E,VB
loser,E,NN
love,P,NN
madness,E,NN
madonna,S,NN
marcus,S,NN
mark,S,NN
marriage,P,NN
married,P,JJ
medium,P,JJ
money,P,NN
mother,P,NN
mother,P,NN
move,E,VB
movie,S,NN
movie,P,NN
movie,P,NN
murray,S,NN
nervous,E,JJ
next,P,JJ
novel,P,NN
now,P,RB
nuts,P,JJ
okay,P,JJ
older,E,JJ
orange,E,JJ
out,S,RB
out,S,RB
out,S,RB
over,P,RB
over,E,RB
over,E,RB
pain,P,NN
paper,P,NN
party,P,NN
party,P,NN
party,P,NN
party,P,NN
penny arcade,P,NN
people,P,NN
personal,E,JJ
pin,P,NN
play,P,NN
poker,P,NN
prison,N,NN
problem,E,NN
problem,E,NN
problem,E,NN
prof,P,NN
promise,P,VB
rape,P,VB
really,P,RB
red,P,JJ
regular,P,JJ
relationship,P,NN
relationships,S,NN
retarded,E,JJ
rich,E,JJ
rich,E,JJ
rob,P,VB
robbed,P,VB
roz,S,NN
rush,E,NN
salad,P,NN
seeing,S,VB
serious,E,JJ
shock,P,NN
sick,P,JJ
slave,P,NN
smart,E,JJ
sorry,P,JJ
sorry,P,JJ
special,S,JJ
split,S,VB
steal,P,VB
steve,S,NN
strip,P,VB
stuff,P,NN
surf,P,VB
surprising,E,JJ
talk,P,VB
talk,P,VB
temple,P,NN
there,P,RB
thing,S,NN
thing,S,NN
thing,S,NN
thing,S,NN
thing,S,NN
thing,S,NN
thinking,E,VB
together,S,RB
together,S,RB
together,S,RB
together,S,RB
together,S,RB
together,S,RB
together,S,RB
tonight,P,RB
tonight's,P,NN
top,E,NN
tre,S,NN
truth,P,NN
truth,P,NN
tub,P,NN
ugly,P,JJ
van,P,NN
war,P,NN
white,P,JJ
wife,P,NN
woody,S,NN
work,S,NN
work,P,NN
work,P,NN
wrong,P,JJ
