Word,Label,POS,Word_Length,Freq_Count
adam,S,NN,4,21694386
aggressive,P,JJ,10,7345918
aggressive,P,JJ,10,7345918
alone,E,JJ,5,39326417
amherst,P,NN,7,2846723
anywhere,E,RB,8,23947583
artist,P,NN,6,67421654
auckland,S,NN,8,7960929
back,E,RB,4,488024109
bacon,P,NN,5,5385205
bad,E,JJ,3,95096787
bad,P,JJ,3,95096787
bag,P,NN,3,40671821
bank,P,NN,4,91559349
be,S,VB,2,2398724162
beach,P,NN,5,105642682
beach,P,NN,5,105642682
better,P,JJ,6,157079378
bitches,S,NN,7,2773319
boat,P,NN,4,34104031
bone,P,NN,4,17581312
bowling,P,VB,7,9997649
boyfriend,P,NN,9,4849182
brother,P,NN,7,34273892
businessman,P,NN,11,1765391
car,P,NN,3,264720374
celebrity,E,NN,9,23500942
change,P,NN,6,210601244
chicago,P,NN,7,63754684
christian,E,NN,9,61873074
class,P,NN,5,191087771
clear,E,JJ,5,88447610
coffee,P,NN,6,42086828
couple,P,NN,6,43578199
cow,P,NN,3,8267976
cred,P,NN,4,549898
cried,P,VB,5,4352198
crime,P,NN,5,40361756
crime,P,NN,5,40361756
dad,P,NN,3,15136055
date,P,NN,4,488967374
date,P,NN,4,488967374
date,P,NN,4,488967374
date,P,NN,4,488967374
date,P,NN,4,488967374
date,P,NN,4,488967374
date,P,NN,4,488967374
dead,P,JJ,4,48384167
dead,P,JJ,4,48384167
dead,P,JJ,4,48384167
dead,P,JJ,4,48384167
dead,P,JJ,4,48384167
dead,P,JJ,4,48384167
decided,P,VB,7,33030803
die,P,VB,3,46745446
dinner,S,NN,6,25974858
dive,P,NN,4,8254655
doctor,P,NN,6,39845710
dog,P,NN,3,77271631
doll,P,NN,4,12047864
done,P,JJ,4,102812628
door,P,NN,4,56638839
drink,S,NN,5,29254937
drink,S,NN,5,29254937
drink,S,NN,5,29254937
drink,S,NN,5,29254937
dying,P,VB,5,9123557
economist,E,NN,9,3718338
egg,P,NN,3,12766528
end,P,NN,3,220812328
enjoy,S,VB,5,50141455
escort,S,NN,6,9226628
